id,source_entity_id,destination_entity_id,amount,currency,occurred_at,reference,channel,metadata_json,created_at
6380960b-d0eb-4f0a-b7ea-72e5502c3583,4dcece31-30e1-4807-90ef-8ee1f2d29ed0,3389f6c8-0971-4c2d-bc4c-025e7d0462f0,809723.97,NGN,2026-01-20T17:29:06+00:00,GRACE-TX-0001262,atm,"{""purpose"": ""supplier_payment"", ""pattern_tag"": """", ""location"": ""Ogun""}",2026-01-20T17:29:06+00:00
a0908f33-54f1-4a2b-8c84-ee8ce4219dfb,0ab7965a-63c7-45a2-aa84-951cd2ade3c2,7b962e1a-6978-4d80-8b94-65932eb62768,214960.15,NGN,2026-01-20T17:50:06+00:00,GRACE-TX-0000492,web,"{""purpose"": ""inventory"", ""pattern_tag"": """", ""location"": ""Lagos""}",2026-01-20T17:50:06+00:00
281ef201-20b4-49e4-b71e-09cb4dfc96c1,ba4268ce-028c-49b4-8c46-078b343230d1,4ad27fbe-b37b-47a8-be9e-10e75670936a,250071.81,NGN,2026-01-20T18:55:47+00:00,GRACE-TX-0000801,transfer,"{""purpose"": ""transfer"", ""pattern_tag"": """", ""location"": ""Lagos""}",2026-01-20T18:55:47+00:00
d9f24922-a4db-491c-967e-6135d6a09739,9adfcc8f-d02d-4110-bcf5-76c5222b4e68,5a824637-c504-46a7-92e6-e3f181af2dc1,738889.57,NGN,2026-01-20T19:28:16+00:00,GRACE-TX-0001397,ussd,"{""purpose"": ""supplier_payment"", ""pattern_tag"": """", ""location"": ""Rivers""}",2026-01-20T19:28:16+00:00
9876f17c-41e7-4726-9869-6d293027173d,fecb0bbb-d25c-460c-8dd5-00b2fa11e989,c520adba-c70c-44ef-94d6-a5b6aaba5136,281444.49,NGN,2026-01-20T19:52:12+00:00,GRACE-TX-0000729,mobile_app,"{""purpose"": ""salary"", ""pattern_tag"": """", ""location"": ""Rivers""}",2026-01-20T19:52:12+00:00
1ef15825-fc95-439c-b111-439ee766a045,a4df19a0-d0f8-494d-99da-e620cf24369a,ad6c2d35-9670-4715-88cd-937aa3493448,40935.01,NGN,2026-01-20T20:23:08+00:00,GRACE-TX-0000595,web,"{""purpose"": ""salary"", ""pattern_tag"": """", ""location"": ""Enugu""}",2026-01-20T20:23:08+00:00
47582430-ce1d-4ddc-96d9-e62cd9d0f010,e18880a1-b6c5-44fe-92cb-b510831c2584,d2e4baf2-4857-4fe2-a85a-0419a3b6e507,168226.97,NGN,2026-01-20T21:08:06+00:00,GRACE-TX-0001825,agent_bank,"{""purpose"": ""invoice_payment"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-20T21:08:06+00:00
cec3b24d-a0dc-4e28-b8ea-ec2fa2af7ce5,ba430215-2fc1-4cfa-9d80-46720350d71a,089fe439-ff74-4107-aa78-aa30d3fa0587,55254.94,NGN,2026-01-20T21:41:00+00:00,GRACE-TX-0001463,atm,"{""purpose"": ""agent_settlement"", ""pattern_tag"": """", ""location"": ""Abuja""}",2026-01-20T21:41:00+00:00
eea2f5d2-9a7e-4273-b374-95c69fa14bef,8a36367b-bc88-48a1-81dd-4622e1a6dbd5,cbd43135-faa6-420c-9cea-8078566c4960,289733.12,NGN,2026-01-20T21:53:50+00:00,GRACE-TX-0001006,ussd,"{""purpose"": ""inventory"", ""pattern_tag"": """", ""location"": ""Delta""}",2026-01-20T21:53:50+00:00
2d40e70c-879c-4d71-ab3e-7bf8c7cb26da,bd24ee22-ffab-48ec-8a1a-5a938ad68ba5,caadaf8d-c25c-4f1a-8335-286d024e6485,4604.19,NGN,2026-01-20T22:54:45+00:00,GRACE-TX-0000210,ussd,"{""purpose"": ""cash_deposit"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-20T22:54:45+00:00
83ca12bb-22a3-4695-a8fa-f727e1bca34f,9955a449-dc1d-4ec4-a604-9d3048a1fdb7,555b15e2-5ac2-487a-b610-5ea192cca7a1,369343.71,NGN,2026-01-21T00:08:31+00:00,GRACE-TX-0001398,web,"{""purpose"": ""invoice_payment"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-21T00:08:31+00:00
4ad3a347-b732-438c-9c1e-fd99f128814b,3e9f4e56-8cba-4eed-b475-c83cede18481,f990a9bd-4f75-48c6-b9b6-83675a2c5e61,829430.92,NGN,2026-01-21T01:37:05+00:00,GRACE-TX-0000339,ussd,"{""purpose"": ""cash_deposit"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-21T01:37:05+00:00
e3261628-9fc7-4a95-9ece-62bc485ca9e2,10a76019-d0ee-4f79-9d93-5baa1028c3bf,99812422-ac00-4f66-9050-d761e5a9a14c,656106.32,NGN,2026-01-21T01:37:15+00:00,GRACE-TX-0000718,web,"{""purpose"": ""salary"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-21T01:37:15+00:00
